"NCT00002651"|"Canada"|"National Cancer Institute (NCI)"|"Prostate Cancer"|"Filgrastim"
"NCT00004640"|"Canada"|"National Institute of Dental and Craniofacial Research (NIDCR)"|"Periodontal Disease"|"Chlorhexidine"
"NCT00004640"|"Canada"|"National Institute of Dental and Craniofacial Research (NIDCR)"|"Tooth Decay"|"Chlorhexidine"
"NCT00004640"|"Canada"|"National Institute of Dental and Craniofacial Research (NIDCR)"|"Tooth Loss"|"Chlorhexidine"
"NCT00009737"|"Canada"|"Hoffmann-La Roche"|"Colorectal Cancer"|"Leucovorin"
"NCT00020566"|"Canada"|"National Cancer Institute (NCI)"|"Sarcoma"|"Docetaxel"
"NCT00020566"|"Canada"|"National Cancer Institute (NCI)"|"Sarcoma"|"Vinblastine"
"NCT00023452"|"Canada"|"Centers for Disease Control and Prevention"|"Tuberculosis"|"Rifapentine"
"NCT00025259"|"Canada"|"National Cancer Institute (NCI)"|"Lymphoma"|"Cetuximab"
"NCT00025259"|"Canada"|"National Cancer Institute (NCI)"|"Lymphoma"|"Cisplatin"
"NCT00025259"|"Canada"|"National Cancer Institute (NCI)"|"Lymphoma"|"Cyclosporine"
"NCT00025259"|"Canada"|"National Cancer Institute (NCI)"|"Lymphoma"|"Decitabine"
"NCT00025259"|"Canada"|"National Cancer Institute (NCI)"|"Lymphoma"|"Docetaxel"
"NCT00025259"|"Canada"|"National Cancer Institute (NCI)"|"Lymphoma"|"Prednisolone"
"NCT00025259"|"Canada"|"National Cancer Institute (NCI)"|"Lymphoma"|"Vinblastine"
"NCT00026312"|"Canada"|"National Cancer Institute (NCI)"|"Neuroblastoma"|"Imatinib Mesylate"
"NCT00027846"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Carboplatin"
"NCT00027846"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Doxorubicin Hydrochloride"
"NCT00027846"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Prednisone"
"NCT00027846"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Sargramostim"
"NCT00028756"|"Canada"|"National Cancer Institute (NCI)"|"Bladder Cancer"|"Cetuximab"
"NCT00028756"|"Canada"|"National Cancer Institute (NCI)"|"Bladder Cancer"|"Docetaxel"
"NCT00028756"|"Canada"|"National Cancer Institute (NCI)"|"Bladder Cancer"|"Fulvestrant"
"NCT00028756"|"Canada"|"National Cancer Institute (NCI)"|"Bladder Cancer"|"Melphalan"
"NCT00028756"|"Canada"|"National Cancer Institute (NCI)"|"Bladder Cancer"|"Trastuzumab"
"NCT00041938"|"Canada"|"Columbia University"|"Heart Disease"|"Aspirin"
"NCT00041938"|"Canada"|"Columbia University"|"Heart Disease"|"Warfarin"
"NCT00041938"|"Canada"|"Columbia University"|"Ischemic Heart Disease"|"Aspirin"
"NCT00041938"|"Canada"|"Columbia University"|"Ischemic Heart Disease"|"Warfarin"
"NCT00041938"|"Canada"|"Columbia University"|"Myocardial Infarction"|"Aspirin"
"NCT00041938"|"Canada"|"Columbia University"|"Myocardial Infarction"|"Warfarin"
"NCT00041938"|"Canada"|"Columbia University"|"Stroke"|"Aspirin"
"NCT00041938"|"Canada"|"Columbia University"|"Stroke"|"Warfarin"
"NCT00048152"|"Canada"|"Hoffmann-La Roche"|"Kidney Transplantation"|"Verteporfin"
"NCT00049673"|"Canada"|"National Cancer Institute (NCI)"|"Multiple Myeloma and Plasma Cell Neoplasm"|"Prednisolone"
"NCT00049673"|"Canada"|"National Cancer Institute (NCI)"|"Multiple Myeloma and Plasma Cell Neoplasm"|"Temozolomide"
"NCT00050609"|"Canada"|"Eli Lilly and Company"|"Gastroparesis"|"Tadalafil"
"NCT00052910"|"Canada"|"National Cancer Institute (NCI)"|"Esophageal Cancer"|"Cetuximab"
"NCT00052910"|"Canada"|"National Cancer Institute (NCI)"|"Esophageal Cancer"|"Doxorubicin Hydrochloride"
"NCT00052910"|"Canada"|"National Cancer Institute (NCI)"|"Esophageal Cancer"|"Fludarabine phosphate"
