"0"|"NCT00002651"|"Canada"|"National Cancer Institute (NCI)"|"Prostate Cancer"|"Filgrastim"
"1"|"NCT00004640"|"Canada"|"National Institute of Dental and Craniofacial Research (NIDCR)"|"Periodontal Disease"|"Chlorhexidine"
"2"|"NCT00004640"|"Canada"|"National Institute of Dental and Craniofacial Research (NIDCR)"|"Tooth Decay"|"Chlorhexidine"
"3"|"NCT00004640"|"Canada"|"National Institute of Dental and Craniofacial Research (NIDCR)"|"Tooth Loss"|"Chlorhexidine"
"4"|"NCT00009737"|"Canada"|"Hoffmann-La Roche"|"Colorectal Cancer"|"Leucovorin"
"5"|"NCT00020566"|"Canada"|"National Cancer Institute (NCI)"|"Sarcoma"|"Docetaxel"
"6"|"NCT00020566"|"Canada"|"National Cancer Institute (NCI)"|"Sarcoma"|"Vinblastine"
"7"|"NCT00023452"|"Canada"|"Centers for Disease Control and Prevention"|"Tuberculosis"|"Rifapentine"
"8"|"NCT00025259"|"Canada"|"National Cancer Institute (NCI)"|"Lymphoma"|"Cetuximab"
"9"|"NCT00025259"|"Canada"|"National Cancer Institute (NCI)"|"Lymphoma"|"Cisplatin"
"10"|"NCT00025259"|"Canada"|"National Cancer Institute (NCI)"|"Lymphoma"|"Cyclosporine"
"11"|"NCT00025259"|"Canada"|"National Cancer Institute (NCI)"|"Lymphoma"|"Decitabine"
"12"|"NCT00025259"|"Canada"|"National Cancer Institute (NCI)"|"Lymphoma"|"Docetaxel"
"13"|"NCT00025259"|"Canada"|"National Cancer Institute (NCI)"|"Lymphoma"|"Prednisolone"
"14"|"NCT00025259"|"Canada"|"National Cancer Institute (NCI)"|"Lymphoma"|"Vinblastine"
"15"|"NCT00026312"|"Canada"|"National Cancer Institute (NCI)"|"Neuroblastoma"|"Imatinib Mesylate"
"16"|"NCT00027846"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Carboplatin"
"17"|"NCT00027846"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Doxorubicin Hydrochloride"
"18"|"NCT00027846"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Prednisone"
"19"|"NCT00027846"|"Canada"|"National Cancer Institute (NCI)"|"Brain and Central Nervous System Tumors"|"Sargramostim"
"20"|"NCT00028756"|"Canada"|"National Cancer Institute (NCI)"|"Bladder Cancer"|"Cetuximab"
"21"|"NCT00028756"|"Canada"|"National Cancer Institute (NCI)"|"Bladder Cancer"|"Docetaxel"
"22"|"NCT00028756"|"Canada"|"National Cancer Institute (NCI)"|"Bladder Cancer"|"Fulvestrant"
"23"|"NCT00028756"|"Canada"|"National Cancer Institute (NCI)"|"Bladder Cancer"|"Melphalan"
"24"|"NCT00028756"|"Canada"|"National Cancer Institute (NCI)"|"Bladder Cancer"|"Trastuzumab"
"25"|"NCT00041938"|"Canada"|"Columbia University"|"Heart Disease"|"Aspirin"
"26"|"NCT00041938"|"Canada"|"Columbia University"|"Heart Disease"|"Warfarin"
"27"|"NCT00041938"|"Canada"|"Columbia University"|"Ischemic Heart Disease"|"Aspirin"
"28"|"NCT00041938"|"Canada"|"Columbia University"|"Ischemic Heart Disease"|"Warfarin"
"29"|"NCT00041938"|"Canada"|"Columbia University"|"Myocardial Infarction"|"Aspirin"
"30"|"NCT00041938"|"Canada"|"Columbia University"|"Myocardial Infarction"|"Warfarin"
"31"|"NCT00041938"|"Canada"|"Columbia University"|"Stroke"|"Aspirin"
"32"|"NCT00041938"|"Canada"|"Columbia University"|"Stroke"|"Warfarin"
"33"|"NCT00048152"|"Canada"|"Hoffmann-La Roche"|"Kidney Transplantation"|"Verteporfin"
"34"|"NCT00049673"|"Canada"|"National Cancer Institute (NCI)"|"Multiple Myeloma and Plasma Cell Neoplasm"|"Prednisolone"
"35"|"NCT00049673"|"Canada"|"National Cancer Institute (NCI)"|"Multiple Myeloma and Plasma Cell Neoplasm"|"Temozolomide"
"36"|"NCT00050609"|"Canada"|"Eli Lilly and Company"|"Gastroparesis"|"Tadalafil"
"37"|"NCT00052910"|"Canada"|"National Cancer Institute (NCI)"|"Esophageal Cancer"|"Cetuximab"
"38"|"NCT00052910"|"Canada"|"National Cancer Institute (NCI)"|"Esophageal Cancer"|"Doxorubicin Hydrochloride"
"39"|"NCT00052910"|"Canada"|"National Cancer Institute (NCI)"|"Esophageal Cancer"|"Fludarabine phosphate"
"40"|"NCT00052910"|"Canada"|"National Cancer Institute (NCI)"|"Esophageal Cancer"|"Irinotecan Hydrochloride"
"41"|"NCT00052910"|"Canada"|"National Cancer Institute (NCI)"|"Gastric Cancer"|"Cetuximab"
"42"|"NCT00052910"|"Canada"|"National Cancer Institute (NCI)"|"Gastric Cancer"|"Doxorubicin Hydrochloride"
"43"|"NCT00052910"|"Canada"|"National Cancer Institute (NCI)"|"Gastric Cancer"|"Fludarabine phosphate"
"44"|"NCT00052910"|"Canada"|"National Cancer Institute (NCI)"|"Gastric Cancer"|"Irinotecan Hydrochloride"
"45"|"NCT00056329"|"Canada"|"National Institute on Aging (NIA)"|"Alzheimer Disease"|"Vitamin E"
"46"|"NCT00056329"|"Canada"|"National Institute on Aging (NIA)"|"Down Syndrome"|"Vitamin E"
"47"|"NCT00056472"|"Canada"|"National Institute of Mental Health (NIMH)"|"Major Depression With Psychotic Features"|"Olanzapine"
"48"|"NCT00056472"|"Canada"|"National Institute of Mental Health (NIMH)"|"Major Depression With Psychotic Features"|"Sertraline"
"49"|"NCT00057564"|"Canada"|"Celgene Corporation"|"Multiple Myeloma"|"Dexamethasone"
"50"|"NCT00057811"|"Canada"|"National Cancer Institute (NCI)"|"Drug/Agent Toxicity by Tissue/Organ"|"Cyclophosphamide"
"51"|"NCT00057811"|"Canada"|"National Cancer Institute (NCI)"|"Drug/Agent Toxicity by Tissue/Organ"|"Cytarabine"
"52"|"NCT00057811"|"Canada"|"National Cancer Institute (NCI)"|"Drug/Agent Toxicity by Tissue/Organ"|"Doxorubicin Hydrochloride"
"53"|"NCT00057811"|"Canada"|"National Cancer Institute (NCI)"|"Drug/Agent Toxicity by Tissue/Organ"|"Leucovorin calcium"
"54"|"NCT00057811"|"Canada"|"National Cancer Institute (NCI)"|"Drug/Agent Toxicity by Tissue/Organ"|"Methotrexate"
"55"|"NCT00057811"|"Canada"|"National Cancer Institute (NCI)"|"Drug/Agent Toxicity by Tissue/Organ"|"Methylprednisolone"
"56"|"NCT00057811"|"Canada"|"National Cancer Institute (NCI)"|"Drug/Agent Toxicity by Tissue/Organ"|"Porfimer sodium"
"57"|"NCT00057811"|"Canada"|"National Cancer Institute (NCI)"|"Drug/Agent Toxicity by Tissue/Organ"|"Prednisone"
"58"|"NCT00057811"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Cyclophosphamide"
"59"|"NCT00057811"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Cytarabine"
"60"|"NCT00057811"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Doxorubicin Hydrochloride"
"61"|"NCT00057811"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Leucovorin calcium"
"62"|"NCT00057811"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Methotrexate"
"63"|"NCT00057811"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Methylprednisolone"
"64"|"NCT00057811"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Porfimer sodium"
"65"|"NCT00057811"|"Canada"|"National Cancer Institute (NCI)"|"Leukemia"|"Prednisone"
"66"|"NCT00057811"|"Canada"|"National Cancer Institute (NCI)"|"Lymphoma"|"Cyclophosphamide"
"67"|"NCT00057811"|"Canada"|"National Cancer Institute (NCI)"|"Lymphoma"|"Cytarabine"
"68"|"NCT00057811"|"Canada"|"National Cancer Institute (NCI)"|"Lymphoma"|"Doxorubicin Hydrochloride"
"69"|"NCT00057811"|"Canada"|"National Cancer Institute (NCI)"|"Lymphoma"|"Leucovorin calcium"
"70"|"NCT00057811"|"Canada"|"National Cancer Institute (NCI)"|"Lymphoma"|"Methotrexate"
"71"|"NCT00057811"|"Canada"|"National Cancer Institute (NCI)"|"Lymphoma"|"Methylprednisolone"
"72"|"NCT00057811"|"Canada"|"National Cancer Institute (NCI)"|"Lymphoma"|"Porfimer sodium"
"73"|"NCT00057811"|"Canada"|"National Cancer Institute (NCI)"|"Lymphoma"|"Prednisone"
"74"|"NCT00058201"|"Canada"|"National Cancer Institute (NCI)"|"Pancreatic Cancer"|"Fludarabine phosphate"
"75"|"NCT00058201"|"Canada"|"National Cancer Institute (NCI)"|"Pancreatic Cancer"|"Fulvestrant"
"76"|"NCT00058201"|"Canada"|"National Cancer Institute (NCI)"|"Pancreatic Cancer"|"Irinotecan Hydrochloride"
"77"|"NCT00058474"|"Canada"|"National Cancer Institute (NCI)"|"Colorectal Cancer"|"CCI-779"
"78"|"NCT00058474"|"Canada"|"National Cancer Institute (NCI)"|"Colorectal Cancer"|"Nelarabine"
"79"|"NCT00059306"|"Canada"|"The University of Texas Health Science Center at San Antonio"|"Cerebrovascular Accident"|"3,4-Methylenedioxymethamphetamine"
"80"|"NCT00059306"|"Canada"|"The University of Texas Health Science Center at San Antonio"|"Hypertension"|"3,4-Methylenedioxymethamphetamine"
"81"|"NCT00059839"|"Canada"|"National Cancer Institute (NCI)"|"Lymphoma"|"Cytarabine"
"82"|"NCT00059839"|"Canada"|"National Cancer Institute (NCI)"|"Lymphoma"|"Docetaxel"
"83"|"NCT00059839"|"Canada"|"National Cancer Institute (NCI)"|"Lymphoma"|"Lapatinib ditosylate"
"84"|"NCT00059839"|"Canada"|"National Cancer Institute (NCI)"|"Lymphoma"|"Prednisolone"
"85"|"NCT00059839"|"Canada"|"National Cancer Institute (NCI)"|"Lymphoma"|"Trastuzumab"
"86"|"NCT00059839"|"Canada"|"National Cancer Institute (NCI)"|"Lymphoma"|"Vinblastine"
"87"|"NCT00061893"|"Canada"|"National Cancer Institute (NCI)"|"Sarcoma"|"Cisplatin"
"88"|"NCT00061893"|"Canada"|"National Cancer Institute (NCI)"|"Sarcoma"|"Docetaxel"
"89"|"NCT00061893"|"Canada"|"National Cancer Institute (NCI)"|"Sarcoma"|"Trastuzumab"
"90"|"NCT00061893"|"Canada"|"National Cancer Institute (NCI)"|"Sarcoma"|"Vinblastine"
"91"|"NCT00061932"|"Canada"|"National Cancer Institute (NCI)"|"Gastric Cancer"|"Bleomycin"
"92"|"NCT00061932"|"Canada"|"National Cancer Institute (NCI)"|"Gastric Cancer"|"Ifosfamide"
"93"|"NCT00064701"|"Canada"|"Astellas Pharma Inc"|"Kidney Transplantation"|"Cyclosporin"
"94"|"NCT00064701"|"Canada"|"Astellas Pharma Inc"|"Kidney Transplantation"|"Melphalan"
"95"|"NCT00064701"|"Canada"|"Astellas Pharma Inc"|"Kidney Transplantation"|"Tacrolimus"
"96"|"NCT00064753"|"Canada"|"National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)"|"Renal Transplant Recipients"|"Vitamin B12"
"97"|"NCT00065507"|"Canada"|"Bristol-Myers Squibb"|"Hepatitis B"|"Entecavir"
"98"|"NCT00066573"|"Canada"|"National Cancer Institute (NCI)"|"Breast Cancer"|"Aminolevulinic acid"
"99"|"NCT00066573"|"Canada"|"National Cancer Institute (NCI)"|"Breast Cancer"|"Everolimus"
"100"|"NCT00066690"|"Canada"|"National Cancer Institute (NCI)"|"Breast Cancer"|"Everolimus"
"101"|"NCT00066690"|"Canada"|"National Cancer Institute (NCI)"|"Breast Cancer"|"Tacrolimus"
"102"|"NCT00066703"|"Canada"|"National Cancer Institute (NCI)"|"Breast Cancer"|"Everolimus"
"103"|"NCT00066703"|"Canada"|"National Cancer Institute (NCI)"|"Breast Cancer"|"Tacrolimus"
"104"|"NCT00069095"|"Canada"|"Hoffmann-La Roche"|"Colorectal Cancer"|"Avastin"
"105"|"NCT00069095"|"Canada"|"Hoffmann-La Roche"|"Colorectal Cancer"|"Oxaliplatin"
"106"|"NCT00069108"|"Canada"|"Hoffmann-La Roche"|"Colorectal Cancer"|"Leucovorin"
"107"|"NCT00069108"|"Canada"|"Hoffmann-La Roche"|"Colorectal Cancer"|"Metformin"
"108"|"NCT00069121"|"Canada"|"Hoffmann-La Roche"|"Colorectal Cancer"|"Leucovorin"
"109"|"NCT00069121"|"Canada"|"Hoffmann-La Roche"|"Colorectal Cancer"|"Metformin"
"110"|"NCT00069784"|"Canada"|"Sanofi-Aventis"|"Diabetes Mellitus, Non-Insulin-Dependent"|"Metformin"
"111"|"NCT00070564"|"Canada"|"National Cancer Institute (NCI)"|"Breast Cancer"|"Carboplatin"
"112"|"NCT00070564"|"Canada"|"National Cancer Institute (NCI)"|"Breast Cancer"|"Dexamethasone"
"113"|"NCT00070564"|"Canada"|"National Cancer Institute (NCI)"|"Breast Cancer"|"Leucovorin calcium"
"114"|"NCT00072904"|"Canada"|"National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)"|"Cystic Fibrosis"|"Repaglinide"
"115"|"NCT00072904"|"Canada"|"National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK)"|"Diabetes Mellitus"|"Repaglinide"
"116"|"NCT00075582"|"Canada"|"National Cancer Institute (NCI)"|"Sarcoma"|"Cisplatin"
